FID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,EntityID,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,ORIG_ADDRE,AddressLin,Latitude,Longitude,AdminDistr,PostalCode,ADV_RES_RE,EKIP_VOUCH,
0,USA.StreetAddress,M,100,A,"60 Columbine Ln, Cedar Crest, New Mexico, 87008",StreetAddress,60,50,98,R, , ,Columbine,Ln, ,60 Columbine Ln,Cedar Crest,New Mexico,87008,USA,-106.377044,35.125421,-106.377044,35.125421,"60 Columbine Ln, Cedar Crest, NM  87008",3, U.S. Forest Service,Sandia Mountain Natural History Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.nmnaturalhistory.org/smnhcabout.html,(505) 281-5259,"60 Columbine Ln, Cedar Crest, NM","60 Columbine Ln, Cedar Crest, NM  87008",35.125421,-106.377044,New Mexico,87008,No,,
1,USA.StreetName,M,100,A,"US 82, Cloudcroft, New Mexico, 88317",StreetName, , , , , ,US,82, , ,US 82,Cloudcroft,New Mexico,88317,USA,-105.748488,32.964545,-105.748488,32.964545,"Hwy 82, Cloudcroft, NM 88317",4, U.S. Forest Service,"Trestle Recreation Area, Sacramento Ranger District, Lincoln National Forest","Restrooms, Day use areas, Trails, Interpretive Signs",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/lincoln/recarea/?recid=34242,575-682-2551 or 575-434-7200,"Hwy 82, Cloudcroft, NM","Hwy 82, Cloudcroft, NM 88317",32.964545,-105.748488,New Mexico,88317,No,,
2,USA.Postal,M,100,A,"88349, Sunspot, New Mexico",Postal, , , , , , , , , , ,Sunspot,New Mexico,88349,USA,-105.817919,32.79251,-105.817919,32.79251,"Sunspot, NM 88349",5, U.S. Forest Service,"Sunspot National Solar Observatory, Sacramento Ranger District, Lincoln National Forest","Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://nsosp.nso.edu/pr,575-682-2551 or 575-434-7200,"Sunspot, NM","Sunspot, NM 88349",32.79251,-105.817919,New Mexico,88349,No,,
3,USA.StreetAddress,M,100,A,"51 Woodsy Ln, Jemez Springs, New Mexico, 87025",StreetAddress,51,1,99,L, , ,Woodsy,Ln, ,51 Woodsy Ln,Jemez Springs,New Mexico,87025,USA,-106.686576,35.785935,-106.686576,35.785935,"051 Woodsy Lane Jemez Springs, NM 87025",6, U.S. Forest Service,Jemez National Recreation Area,"Restrooms, Group shelters, Day use areas, Ranger Station",Yes,"Geocaching, Nearby: Valles Caldera Education Center","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/santafe/,575-829-3535,"051 Woodsy Lane Jemez Springs, NM","051 Woodsy Lane Jemez Springs, NM 87025",35.785935,-106.686576,New Mexico,87025,No,,
4,USA.StreetAddress,M,95.76,M,"US 2 & US 45, Watersmeet Twp, Michigan, 49969",StreetInt, , , , , , , , , , , ,Michigan, ,USA,-89.178438,46.26326,-89.178439,46.26326,"US 2 & HWY 45, MI 49969",7, U.S. Forest Service,Ottawa Visitor Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Day use areas, Interpretive Trail",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Wildlife, Recreation, Natural Resource Management Programs","Staff interpreters, Staff rangers, Specialists","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detailfull/ottawa/home/?cid=FSM8_042650&width=full,906-358-4018,US 2 Hwy 45,"US 2 Hwy 45, MI 49969",46.26326,-89.178438,Michigan,49969,No,,
5,USA.Postal,M,96.99,A,"49961, Sidnaw, Michigan",Postal, , , , , , , , , , ,Sidnaw,Michigan,49961,USA,-88.719579,46.51064,-88.719579,46.51064,"14465 E. Norway Lake Road, MI 49961",8, U.S. Forest Service,Camp Nesbit,"Restrooms, Environmental education facility, Amphitheater, Group shelters, Day use areas, Beach, Ropes Course, Archery Course, Trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Recreation, Wildlife, Wilderness, Service Learning Programs","Staff interpreters, Staff rangers","Summer (June - August), Fall (September - October)", ,906-358-4018,14465 E. Norway Lake Road,"14465 E. Norway Lake Road, MI 49961",46.51064,-88.719579,Michigan,49961,Yes,,
6,USA.Postal,M,97.4,A,"84759, Panguitch, Utah",Postal, , , , , , , , , , ,Panguitch,Utah,84759,USA,-112.43352,37.812008,-112.43352,37.812008,"Powell Ranger District, Utah 84759",9, U.S. Forest Service,"Red Canyon Visitor Center, Dixie  National Forest","Restrooms, Visitor Center, Day use areas, Trails, Old guard station",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/dixie/recreation/outdoorlearning/recarea/?recid=24942&actid=120,435-676-2676,Powell Ranger District,"Powell Ranger District, Utah 84759",37.745361,-112.319583,Utah,84759,No,,
7,USA.Postal,M,95.69,A,"84721, Cedar City, Utah",Postal, , , , , , , , , , ,Cedar City,Utah,84721,USA,-113.078518,37.72022,-113.078518,37.72022,"Below, Utah 84721",10,U.S. Forest Service,"Duck Creek Visitor Center, Dixie National Forest","Visitor Center, Day use areas",Yes,History/Social Studies/Cultural Heritage program,Volunteers,Summer (June - August),http://www.fs.usda.gov/recarea/dixie/recreation/outdoorlearning/recarea/?recid=24854&actid=120,(435) 865-3200,Below,"Below, Utah 84721",37.516,-112.699,Utah,84721,Yes,,
8,USA.StreetAddress,M,90.92,A,"755 W Main St, Escalante, Utah, 84726",StreetAddress,755,701,999,L,W, ,Main,St, ,755 W Main St,Escalante,Utah,84726,USA,-111.615086,37.773525,-111.615086,37.773525,"755 West Main, Utah 84726",504, U.S. Forest Service,"Escalante Interagency Visitor Center, Escalante Ranger District, Dixie National Forest, AND Bureau of Land Management, Grand Staircase National Monument AND National Park Service","Restrooms, Visitor Center, Day use areas",Yes,"Outdoor classroom, NIght Sky",Staff interpreters,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/dixie/recreation/outdoorlearning/recarea/?recid=24978&actid=120 AND http://www.blm.gov/ut/st/en/fo/grand_staircase-escalante/Recreation/visitor_centers/Escalante_Interagency_Visitor_Center.html,435-826-5499,755 West Main,"755 West Main, Utah 84726",37.773,-111.618,Utah,84726,No,,
9, ,U,0,A, , , , , , , , , , , , ,Pine Valley,Utah, , ,-113.512109,37.390467,0,0, ,11, U.S. Forest Service,"PIne Valley Heritage Center, Pine Valley Ranger District, Dixie National Forest","Restrooms, Visitor Center, Campground close by",No,"History/Social Studies/Cultural Heritage program, Special Events",Volunteers,Summer (June - August),http://www.fs.usda.gov/recarea/dixie/recreation/outdoorlearning/recarea/?recid=24836&actid=120,435-574-2463, , ,37.390467,-113.512109,Utah,84781,No, ,
